entity,code,year,maternal_mortality_ratio,world_region_according_to_owid,schooling
Turkey,TUR,2020,17.33207,Asia,8.072789
Turkmenistan,TKM,2020,5.148083,Asia,10.833263
Uganda,UGA,2020,284.14078,Africa,5.157981
Ukraine,UKR,2020,16.540369,Europe,11.442063
United Arab Emirates,ARE,2020,9.340701,Asia,12.559999
United Kingdom,GBR,2020,9.84248,Europe,13.45
United States,USA,2020,21.084906,North America,13.74
Upper-middle-income countries,,2020,64.45611,,8.31799
Uruguay,URY,2020,18.638363,South America,9.763333
Uzbekistan,UZB,2020,30.178492,Asia,11.705
Vanuatu,VUT,2020,94.44282,Oceania,6.5934167
Venezuela,VEN,2020,259.18643,South America,9.95062
Vietnam,VNM,2020,45.530025,Asia,8.246667
World,OWID_WRL,2020,212.23637,,8.26752
Yemen,YEM,2020,183.39972,Asia,2.993016
Zambia,ZMB,2020,134.66542,Africa,6.432586
Zimbabwe,ZWE,2020,356.7589,Africa,8.191878
